attachment_object_id,attachment_url,cache_status,classification_reason,common_neutral_fields,disclosure_id,extracted_observations,filename,final_classification,first_north_markers,local_path,main_market_markers,provenance_verification,publication_timestamp,report_month,sha256,sheet_names
ad7096ab7de0ebbff4ac89bb1526075a91b0cb9e9d705eec3ece9060f38f676e,https://attachment.news.eu.nasdaq.com/a6dd2e16cde83be5a793cdd4304d2510d,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,463133,129,Equity Trading by Company and Instrument - First North 1106.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/ad/ad7096ab7de0ebbff4ac89bb1526075a91b0cb9e9d705eec3ece9060f38f676e.xls,,PASS,2011-07-25 14:01:59,2011-06,b3b4d03f28a49a6cb854ed285ca689dc7fd381945164c6d688eb217b8b08e3d4,Contents|Company Trading Overview|Instrument Trading Details
d9d76a5e3d3f4c0f6b208c882641c774fd153796c3ae84fc144f19e58f384397,https://attachment.news.eu.nasdaq.com/a79bbadfceaee19400736127a25dd8550,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,463929,130,Equity Trading by Company and Instrument - First North 1107.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/d9/d9d76a5e3d3f4c0f6b208c882641c774fd153796c3ae84fc144f19e58f384397.xls,,PASS,2011-08-01 16:58:28,2011-07,a0b56d8cf0cd004e1df6e232f0656fd806efe1105afefb7d223bf6f52627616a,Contents|Company Trading Overview|Instrument Trading Details
c18d8897f1f0ee05d4ad09f6953ef0b3a0d78845fefefb4264a25512b0eec550,https://attachment.news.eu.nasdaq.com/a070c9b544a5218171acf43e8cc1ead36,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,469986,128,Equity Trading by Company and Instrument - First North 1108.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/c1/c18d8897f1f0ee05d4ad09f6953ef0b3a0d78845fefefb4264a25512b0eec550.xls,,PASS,2011-09-15 14:20:26,2011-08,19a0ba83f445f8093648bb7b6431702b01cc3b8e207fdc41a7cc5cd6fa996d95,Contents|Company Trading Overview|Instrument Trading Details
505e6d91afd38e28c17f7c9adb82a45867f8ddaf4667287f8b63eafc3e0471a4,https://attachment.news.eu.nasdaq.com/a39927e51ef3055066daf9eae781ef7c3,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,473591,128,Equity Trading by Company and Instrument - First North 1109.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/50/505e6d91afd38e28c17f7c9adb82a45867f8ddaf4667287f8b63eafc3e0471a4.xls,,PASS,2011-10-14 10:36:23,2011-09,df55bb8f3185730fdf7ef80ff86cf1763a1f0590f3b58f2c45f4a21c9908afee,Contents|Company Trading Overview|Instrument Trading Details
277b1bc573b99ff5c43cd647d3e6ba31562812ce63611dd15f731ca16031f4a7,https://attachment.news.eu.nasdaq.com/a345468e1c70221f58fd86ac1f15aacf8,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,477720,128,Equity Trading by Company and Instrument - First North 1110.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/27/277b1bc573b99ff5c43cd647d3e6ba31562812ce63611dd15f731ca16031f4a7.xls,,PASS,2011-11-10 13:00:53,2011-10,bd9a4ea0898a32e133d26dc61028a6972be24b44d029b1de225aedc793c53727,Contents|Company Trading Overview|Instrument Trading Details
b4fa66dc7f0595a59a91664d768902b95d626fe28ec9d5d0e36715164257bd80,https://attachment.news.eu.nasdaq.com/a1bd376fec4939f16b31f13aa04f9ffdb,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,483289,129,Equity Trading by Company and Instrument - First North 1111.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/b4/b4fa66dc7f0595a59a91664d768902b95d626fe28ec9d5d0e36715164257bd80.xls,,PASS,2011-12-20 15:29:49,2011-11,f7a8fce8b5d2cc95c7892edcf96acbfd2189b7f9bb6d66c3985e527858fa887c,Contents|Company Trading Overview|Instrument Trading Details
8999983e8427c7eedc3c2e387c2a58dad9702ef6c25619266c93168d9ee61aa1,https://attachment.news.eu.nasdaq.com/aa19f39a90311968e9f34de23aa766a6d,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,486968,134,Equity Trading by Company and Instrument - First North 1112.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/89/8999983e8427c7eedc3c2e387c2a58dad9702ef6c25619266c93168d9ee61aa1.xls,,PASS,2012-01-23 13:39:05,2011-12,ad618243e54887af6930d86274047eb3fe7526b48817243e2252ea888fb786c4,Contents|Company Trading Overview|Instrument Trading Details
77ac6ae8ae096fc1a6daf8b5666e4e5b25243a7af7c7c98b7eeffa168a7784f9,https://attachment.news.eu.nasdaq.com/a3a6821b48efc918253a2739b571e2bad,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,490964,133,Equity Trading by Company and Instrument - First North 1201.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/77/77ac6ae8ae096fc1a6daf8b5666e4e5b25243a7af7c7c98b7eeffa168a7784f9.xls,,PASS,2012-02-15 14:28:00,2012-01,ba41fd5d36f43a69b427fde6462ad32259dd85522e6402c9ce8b337760d17625,Contents|Company Trading Overview|Instrument Trading Details
31f3d2758b7a162c2ca20145780d96e35ae1ad77fb847c22be2fbd2b9c00bad2,https://attachment.news.eu.nasdaq.com/af5c6906db87d904acd550b8e81e9ecac,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,497006,133,Equity Trading by Company and Instrument - First North 1202.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/31/31f3d2758b7a162c2ca20145780d96e35ae1ad77fb847c22be2fbd2b9c00bad2.xls,,PASS,2012-03-22 13:36:14,2012-02,4566e892d1903e38c0a929e710d398566eac88656ae40bb7c17b6cf761ecd978,Contents|Company Trading Overview|Instrument Trading Details
4a85f5e4b88d4b6df5f814d2d6e97c241ffd8998b7cbfa4a68959f600f7da0a4,https://attachment.news.eu.nasdaq.com/a268611292f4ba69adeeb03d1cae32be8,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,503100,132,Equity Trading by Company and Instrument - First North 1203.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/4a/4a85f5e4b88d4b6df5f814d2d6e97c241ffd8998b7cbfa4a68959f600f7da0a4.xls,,PASS,2012-04-26 14:00:21,2012-03,6e3ad16a0ef9dfac9a8fb629ef9c5915631d7d148c0a5ecf9b213341caaaaf3d,Contents|Company Trading Overview|Instrument Trading Details
e7bf92550664202d35cc36acb140e876743dc283468a98a5f2bdaa18db7c629d,https://attachment.news.eu.nasdaq.com/a4ae71716d86706fa032b40312fdc6e41,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,505550,132,Equity Trading by Company and Instrument - First North 1204.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/e7/e7bf92550664202d35cc36acb140e876743dc283468a98a5f2bdaa18db7c629d.xls,,PASS,2012-05-09 14:41:33,2012-04,d45d8f8290afcc0ea0ebc0fb410f1cd9cbde04bd05a560caeacd595857563168,Contents|Company Trading Overview|Instrument Trading Details
0095c1be584eec77a502058190e1cbceed7258ffd6509f3f39ce9db9179e5c13,https://attachment.news.eu.nasdaq.com/aff0fb4649ab920e2dff4fbcb5982a231,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,509807,130,Equity Trading by Company and Instrument - First North 1205.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/00/0095c1be584eec77a502058190e1cbceed7258ffd6509f3f39ce9db9179e5c13.xls,,PASS,2012-06-07 12:50:02,2012-05,d1d27e4a0d674982452aecbf5586a13e6d72ae9b4c6b3bb857adde01ad05a5db,Contents|Company Trading Overview|Instrument Trading Details
d120294064bdd43dd6610afaa5f6c88cd86bf6eab21e625da22124314f99b5eb,https://attachment.news.eu.nasdaq.com/ac4f54bf2d831685bd4f4dec27adb3d8d,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,516862,128,Equity Trading by Company and Instrument - First North 1207.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/d1/d120294064bdd43dd6610afaa5f6c88cd86bf6eab21e625da22124314f99b5eb.xls,,PASS,2012-08-07 15:37:38,2012-07,e36575b7e6e16f191c5af276cfea65b3a2018dba36dbbb4b7f17520397dccaa4,Contents|Company Trading Overview|Instrument Trading Details
5a6f38ed81c581b0a55d4ec12a08e18c6368be1f21dd7953a2bcaf281b366fac,https://attachment.news.eu.nasdaq.com/a72edcafddb83fea130483ca4e6a5ef82,FRESH_OR_PROVENANCE_EXACT,positive First North workbook content; shared Nasdaq fields treated as neutral,company code|issuer code|orderbook code,521111,126,Equity Trading by Company and Instrument - First North 1208.xls,FIRST_NORTH_LEGACY_V1,legacy_sheet+content:Company Trading Overview/First North|content:First North,raw/nasdaq_segment/first_north_cns_objects/5a/5a6f38ed81c581b0a55d4ec12a08e18c6368be1f21dd7953a2bcaf281b366fac.xls,,PASS,2012-09-10 15:37:17,2012-08,9510fa33514cab36b57681b9b0b33d2680ffe79079dd39c450ed1a626cc70721,Contents|Company Trading Overview|Instrument Trading Details
