ticker,name,sector,market_cap_category
BESQAB.ST,Besqab AB,Financials,Mid Cap
BETCO.ST,Better Collective A/S,Industrials,Mid Cap
BETS-B.ST,Betsson AB,Consumer Discretionary,Small Cap
BEWIO.ST,Bewi ASA,Materials,Mid Cap
BHG.ST,BHG Group AB (publ),Consumer Discretionary,Mid Cap
BICO.ST,BICO Group AB Class B,Health Care,Small Cap
BILI-A.ST,Bilia AB (publ),Consumer Discretionary,Small Cap
BILL.ST,BillerudKorsnas AB (publ),Materials,Mid Cap
BIM.ST,BIMobject AB,Information Technology,Micro Cap
BINERO.ST,Binero Group AB (publ),Information Technology,Nano Cap
BINV.ST,BioInvent International AB,Health Care,Small Cap
BIOA-B.ST,BioArctic AB (publ),Health Care,Small Cap
BIOEX.ST,Bioextrax AB,Health Care,Micro Cap
BIOG-B.ST,BioGaia AB (publ),Health Care,Small Cap
BIOGAS.ST,Scandinavian Biogas Fuels International AB (publ),Materials,Micro Cap
BIOS.ST,Bioservo Technologies AB (publ),Health Care,Nano Cap
BIOSGN.ST,Biosergen AB,Health Care,Nano Cap
BIOT.ST,Biotage AB,Health Care,Small Cap
BIOVIC-B.ST,Biovica International AB (publ),Health Care,Micro Cap
BIOWKS.ST,Bio-Works Technologies AB (publ),Health Care,Micro Cap
BMAX.ST,Byggmax Group AB (publ),Industrials,Small Cap
BMC.ST,Brock Milton Capital AB,Financials,Micro Cap
BNORO.ST,BlueNord ASA,Energy,Large Cap
BOAT.ST,Nimbus Group AB (Publ),Consumer Discretionary,Micro Cap
BOHO-PREF.ST,Boho Group AB (publ) SEK 0.96 Cum Pref Registered Shs,Financials,Micro Cap
BOHO.ST,Boho Group AB (publ),Financials,Micro Cap
BOKUS.ST,Bokusgruppen AB,Consumer Discretionary,Small Cap
BOL.ST,Boliden AB (publ),Materials,Large Cap
BOMILL.ST,BoMill AB (publ),Industrials,Nano Cap
BONAS.ST,Bonasudden Holding AB (publ),Real Estate,Nano Cap
BONAV-A.ST,Bonava AB (publ),Industrials,Small Cap
BONAV-B.ST,Bonava AB (publ),Industrials,Small Cap
BONEX.ST,BONESUPPORT HOLDING AB,Health Care,Large Cap
BONG.ST,Bong AB (publ),Consumer Discretionary,Nano Cap
BONHRO.ST,Bonheur ASA,Industrials,Mid Cap
BOOZT.ST,Boozt AB (publ),Consumer Discretionary,Small Cap
BORG.ST,Bjorn Borg AB (publ),Consumer Discretionary,Micro Cap
BORRO.ST,Borr Drilling Limited,Industrials,Large Cap
BOTX.ST,Botnia Exploration Holding AB (publ),Materials,Nano Cap
BOUL.ST,Boule Diagnostics AB (publ),Health Care,Micro Cap
BOUVO.ST,Bouvet ASA,Information Technology,Mid Cap
BRAIN.ST,BrainCool AB,Health Care,Micro Cap
BRAV.ST,Bravida Holding AB (publ),Industrials,Mid Cap
BRAVE.ST,Kinda Brave Entertainment Group AB,Information Technology,Micro Cap
BRE2.ST,Bredband2 i Skandinavien AB (publ),Communication Services,Micro Cap
BRGO.ST,Borregaard ASA,Materials,Large Cap
BRIG.ST,Brighter AB (publ),Health Care,Nano Cap
BRIGHT.ST,BrightBid Group AB,Information Technology,Nano Cap
BRILL.ST,Brilliant Future AB,Information Technology,Nano Cap
BRIN-B.ST,Brinova Fastigheter AB (publ),Real Estate,Small Cap
BTS-B.ST,BTS Group AB Class B,Industrials,Mid Cap
BUFAB.ST,Bufab AB (publ),Industrials,Small Cap
BULTEN.ST,Bulten AB (publ),Consumer Discretionary,Micro Cap
BURE.ST,Bure Equity AB,Financials,Mid Cap
